inventory_number,notary
173,JAN FRANSSEN BRUIJNINGH
208,JACOB MEERHOUT
209,JACOB MEERHOUT
210,JACOB MEERHOUT
211,JACOB MEERHOUT
212,JACOB MEERHOUT
213,JACOB MEERHOUT
214,JACOB MEERHOUT
215,JACOB MEERHOUT
216,JACOB MEERHOUT
217,JACOB MEERHOUT
218,JACOB MEERHOUT
219,JACOB MEERHOUT
220,JACOB MEERHOUT
221,JACOB MEERHOUT
222,JACOB MEERHOUT
223,JACOB MEERHOUT
224,JACOB MEERHOUT
225,JACOB MEERHOUT
226,JACOB MEERHOUT
227,JACOB MEERHOUT
228,JACOB MEERHOUT
229,JACOB MEERHOUT
230,JACOB MEERHOUT
231,JACOB MEERHOUT
232,JACOB MEERHOUT
233,JACOB MEERHOUT
234,JACOB MEERHOUT
235,JACOB MEERHOUT
236,JACOB MEERHOUT
237,JACOB MEERHOUT
238,JACOB MEERHOUT
239,JACOB MEERHOUT
240,JACOB MEERHOUT
241,JACOB MEERHOUT
242,JACOB MEERHOUT
243,JACOB MEERHOUT
244,JACOB MEERHOUT
245,JACOB MEERHOUT
246,JACOB MEERHOUT
247,JACOB MEERHOUT
248,JACOB MEERHOUT
249,JACOB MEERHOUT
250,JACOB MEERHOUT
251,JACOB MEERHOUT
252,JACOB MEERHOUT
253,JACOB MEERHOUT
254,JACOB MEERHOUT
255,JACOB MEERHOUT
256,JACOB MEERHOUT
257,JACOB MEERHOUT
258A,JACOB MEERHOUT
258B,JACOB MEERHOUT
259A,JACOB MEERHOUT
259B,JACOB MEERHOUT
340,WILLEM CLUIJT
341,WILLEM CLUIJT
342,WILLEM CLUIJT
343,WILLEM CLUIJT
344,WILLEM CLUIJT
345,WILLEM CLUIJT
346,WILLEM CLUIJT
347,WILLEM CLUIJT
348,WILLEM CLUIJT
349,WILLEM CLUIJT
350,WILLEM CLUIJT
351A,WILLEM CLUIJT
351B,WILLEM CLUIJT
352,WILLEM CLUIJT
353,WILLEM CLUIJT
354,WILLEM CLUIJT
355,WILLEM CLUIJT
356,WILLEM CLUIJT
374,JACOB JACOBS EN NICOLAES JACOBS
375,JACOB JACOBS EN NICOLAES JACOBS
376,JACOB JACOBS EN NICOLAES JACOBS
377A,JACOB JACOBS EN NICOLAES JACOBS
377B,JACOB JACOBS EN NICOLAES JACOBS
378A,JACOB JACOBS EN NICOLAES JACOBS
378B,JACOB JACOBS EN NICOLAES JACOBS
379,JACOB JACOBS EN NICOLAES JACOBS
380A,JACOB JACOBS EN NICOLAES JACOBS
380B,JACOB JACOBS EN NICOLAES JACOBS
381A,JACOB JACOBS EN NICOLAES JACOBS
381B,JACOB JACOBS EN NICOLAES JACOBS
